Date,Ticker,ROA,ROE,EPS,P/E Ratio,Debt/Equity,Dividend Yield,Revenue,Net Income
2019-12-31,AAPL,0.22518998,1.3652,6.29,35.391098,145.0,0.45,395760009216,96150003712
2020-12-31,AAPL,0.22518998,1.3652,6.29,35.391098,145.0,0.45,395760009216,96150003712
2021-12-31,AAPL,0.22518998,1.3652,6.29,35.391098,145.0,0.45,395760009216,96150003712
2022-12-31,AAPL,0.22518998,1.3652,6.29,35.391098,145.0,0.45,395760009216,96150003712
2023-12-31,AAPL,0.22518998,1.3652,6.29,35.391098,145.0,0.45,395760009216,96150003712
2024-12-31,AAPL,0.22518998,1.3652,6.29,35.391098,145.0,0.45,395760009216,96150003712
2019-12-31,MSFT,0.14649001,0.34291,12.42,30.750805,33.998,0.87,261802000384,92749996032
2020-12-31,MSFT,0.14649001,0.34291,12.42,30.750805,33.998,0.87,261802000384,92749996032
2021-12-31,MSFT,0.14649001,0.34291,12.42,30.750805,33.998,0.87,261802000384,92749996032
2022-12-31,MSFT,0.14649001,0.34291,12.42,30.750805,33.998,0.87,261802000384,92749996032
2023-12-31,MSFT,0.14649001,0.34291,12.42,30.750805,33.998,0.87,261802000384,92749996032
2024-12-31,MSFT,0.14649001,0.34291,12.42,30.750805,33.998,0.87,261802000384,92749996032
2019-12-31,GOOGL,0.1674,0.32908002,8.04,19.488184,8.655,0.51,350018011136,100118003712
2020-12-31,GOOGL,0.1674,0.32908002,8.04,19.488184,8.655,0.51,350018011136,100118003712
2021-12-31,GOOGL,0.1674,0.32908002,8.04,19.488184,8.655,0.51,350018011136,100118003712
2022-12-31,GOOGL,0.1674,0.32908002,8.04,19.488184,8.655,0.51,350018011136,100118003712
2023-12-31,GOOGL,0.1674,0.32908002,8.04,19.488184,8.655,0.51,350018011136,100118003712
2024-12-31,GOOGL,0.1674,0.32908002,8.04,19.488184,8.655,0.51,350018011136,100118003712
2019-12-31,AMZN,0.07438,0.24290001,5.53,34.685352,54.342,,637959012352,59248001024
