,mean,std
ARIMA_Accuracy,0.1995108131507882,0.05113919993492986
ARIMA_F1_Macro,0.16733913705810313,0.047418161553807764
ARIMA_F1_Weighted,0.15814098025952095,0.06474917841297641
ARIMA_Precision_Macro,0.35648623042174027,0.03787633592805159
ARIMA_Recall_Macro,0.35443306614225617,0.009506312732330512
RandomForest_Accuracy,0.4170075226431136,0.024373303912546992
RandomForest_F1_Macro,0.3532154683262431,0.0012595671562524056
RandomForest_F1_Weighted,0.41639855521265573,0.0144628191891483
RandomForest_Precision_Macro,0.3573537624036221,0.004751597480077692
RandomForest_Recall_Macro,0.35799550988731527,0.0011709890454047298
XGBoost_Accuracy,0.4457881124531855,0.005949168410546774
XGBoost_F1_Macro,0.31597786840433567,0.010033244455056349
XGBoost_F1_Weighted,0.4160252434397096,0.00621427839781935
XGBoost_Precision_Macro,0.35940502261847446,0.01461415246260368
XGBoost_Recall_Macro,0.3378167368870095,0.004847767147257307
SVM_Accuracy,0.3315340795547967,0.053709929492126655
SVM_F1_Macro,0.31547650294359214,0.03197625275082809
SVM_F1_Weighted,0.3482305195742852,0.0563910813507695
SVM_Precision_Macro,0.36316824302431977,0.012370914194150005
SVM_Recall_Macro,0.37625253088890637,0.009201138364867661
LSTM_Accuracy,0.3099438636807338,0.04499096684881755
LSTM_F1_Macro,0.2960245714259537,0.026601723843640773
LSTM_F1_Weighted,0.3282455677999037,0.050204762573840336
LSTM_Precision_Macro,0.3467675610845047,0.0072872432692956965
LSTM_Recall_Macro,0.3615234864187387,0.0033404671783884643
Transformer_Accuracy,0.29924502207637876,0.05934010331603048
Transformer_F1_Macro,0.2792238967247309,0.03608190471046402
Transformer_F1_Weighted,0.30343516267886755,0.05712318422149475
Transformer_Precision_Macro,0.3510527792352649,0.015135062807055353
Transformer_Recall_Macro,0.3649471021840571,0.02221227871690287
