Ticker,Year,ROA,ROE,EPS,P/E Ratio,Debt/Equity,Dividend Yield,Revenue,Net Income,Total Assets,Total Stockholder Equity,Total Liabilities,Cash Dividends Paid,Year-End price
AAPL,2020,17.7256,87.8664,3.28,35.1,1.7208,0.68,274515000,57411000,323888000,65339000,258549000,-14081000,129.6090546
AAPL,2021,26.9742,150.0713,5.61,28.89,1.9768,0.57,365817000,94680000,351002000,63090000,287912000,-14467000,174.5162964
AAPL,2022,28.2924,196.9589,6.11,21.81,2.3695,0.66,394328000,99803000,352755000,50672000,302083000,-14841000,128.4366608
AAPL,2023,27.5098,156.076,6.13,29.81,1.7875,0.51,383285000,96995000,352583000,62146000,290437000,-15025000,191.3809662
AAPL,2024,25.6825,164.5935,6.08,39.71,1.8723,0.44,391035000,93736000,364980000,56950000,308030000,-15234000,251.9230194
MSFT,2020,14.6961,37.4298,5.76,31.98,0.5353,0.99,143015000,44281000,301311000,118304000,183007000,-15137000,214.5649719
MSFT,2021,18.3568,43.1522,8.05,34.84,0.4095,0.68,168088000,61271000,333779000,141988000,191791000,-16521000,327.1620483
MSFT,2022,19.937,43.6755,9.65,26.16,0.2989,1.05,198270000,72738000,364840000,166542000,198298000,-18135000,235.4756927
MSFT,2023,17.5644,35.0887,9.68,33.68,0.2291,0.75,211915000,72361000,411976000,206223000,205753000,-19800000,372.5019836
MSFT,2024,17.2086,32.8281,11.8,33.87,0.1923,0.74,245122000,88136000,512163000,268477000,243686000,-21771000,423.9798584
GOOGL,2020,12.5992,18.0949,2.93,29.72,0.0626,0,182527000,40269000,319616000,222544000,97072000,0,87.21503448
GOOGL,2021,21.1633,30.2156,5.61,25.69,0.0589,0,257637000,76033000,359268000,251635000,107633000,0,144.1627808
GOOGL,2022,16.4188,23.4134,4.56,19.29,0.0574,0,282836000,59972000,365264000,256144000,109120000,0,87.81018829
GOOGL,2023,18.3391,26.0411,5.8,23.97,0.0419,0,307394000,73795000,402392000,283379000,119013000,0,139.0253296
GOOGL,2024,22.2358,30.7976,8.04,23.49,0.0335,0.42,350018000,100118000,450256000,325084000,125172000,-7363000,191.0200043
AMZN,2020,6.6411,22.8374,2.09,77.97,0.3406,0,386064000,21331000,321195000,93404000,227791000,0,162.8464966
AMZN,2021,7.9334,24.134,3.24,51.47,0.3526,0,469822000,33364000,420549000,138245000,282304000,0,166.7169952
AMZN,2022,-0.5883,-1.8638,-0.27,0,0.4598,0,513983000,-2722000,462675000,146043000,316632000,0,84
AMZN,2023,5.7639,15.0712,2.9,52.39,0.2889,0,574785000,30425000,527854000,201875000,325979000,0,151.9400024
AMZN,2024,9.4813,20.7183,5.53,39.67,0.184,0,637959000,59248000,624894000,285970000,338924000,0,221.3000031
TSLA,2020,1.653,3.7356,0.21,1127.63,0.5087,0,31536000,690000,52148000,23075000,29073000,0,235.2233276
TSLA,2021,9.084,18.1977,1.63,215.67,0.2203,0,53823000,5524000,62131000,31015000,31116000,0,352.2600098
TSLA,2022,15.287,27.6704,3.62,34,0.0681,0,81462000,12583000,82338000,45489000,36849000,0,123.1800003
TSLA,2023,14.0445,23.6306,4.3,57.65,0.0825,0,96773000,14999000,106618000,63367000,43251000,0,248.4799957
TSLA,2024,5.8598,9.7165,2.04,197.96,0.1116,0,97690000,7130000,122070000,73617000,48453000,0,417.4100037
META,2020,18.2945,22.7188,10.09,26.92,0,0,85965000,29146000,159316000,128290000,31026000,0,271.8786316
META,2021,23.7187,31.5265,13.77,24.26,0,0,117929000,39370000,165987000,124879000,41108000,0,334.7721863
