forecast_date,ticker,forecast_pct_change,forecast_trend
2024-12-31,AAPL,0.0,0
2025-01-01,AAPL,0.0,0
2025-01-02,AAPL,0.0,0
2025-01-03,AAPL,0.0,0
2025-01-06,AAPL,0.0,0
2025-01-07,AAPL,0.0,0
2025-01-08,AAPL,0.0,0
2025-01-09,AAPL,0.0,0
2025-01-10,AAPL,0.0,0
2025-01-13,AAPL,0.0,0
2025-01-14,AAPL,0.0,0
2025-01-15,AAPL,0.0,0
2025-01-16,AAPL,0.0,0
2025-01-17,AAPL,0.0,0
2025-01-20,AAPL,0.0,0
2025-01-21,AAPL,0.0,0
2025-01-22,AAPL,0.0,0
2025-01-23,AAPL,0.0,0
2025-01-24,AAPL,0.0,0
2025-01-27,AAPL,0.0,0
2025-01-28,AAPL,0.0,0
2025-01-29,AAPL,0.0,0
2025-01-30,AAPL,0.0,0
2025-01-31,AAPL,0.0,0
2025-02-03,AAPL,0.0,0
2025-02-04,AAPL,0.0,0
2025-02-05,AAPL,0.0,0
2025-02-06,AAPL,0.0,0
2025-02-07,AAPL,0.0,0
2025-02-10,AAPL,0.0,0
2025-02-11,AAPL,0.0,0
2025-02-12,AAPL,0.0,0
2025-02-13,AAPL,0.0,0
2025-02-14,AAPL,0.0,0
2025-02-17,AAPL,0.0,0
2025-02-18,AAPL,0.0,0
2025-02-19,AAPL,0.0,0
2025-02-20,AAPL,0.0,0
2025-02-21,AAPL,0.0,0
2025-02-24,AAPL,0.0,0
2025-02-25,AAPL,0.0,0
2025-02-26,AAPL,0.0,0
2025-02-27,AAPL,0.0,0
2025-02-28,AAPL,0.0,0
2025-03-03,AAPL,0.0,0
2025-03-04,AAPL,0.0,0
2025-03-05,AAPL,0.0,0
2025-03-06,AAPL,0.0,0
2025-03-07,AAPL,0.0,0
2025-03-10,AAPL,0.0,0
2025-03-11,AAPL,0.0,0
2025-03-12,AAPL,0.0,0
2025-03-13,AAPL,0.0,0
2025-03-14,AAPL,0.0,0
2025-03-17,AAPL,0.0,0
2025-03-18,AAPL,0.0,0
2025-03-19,AAPL,0.0,0
2025-03-20,AAPL,0.0,0
2025-03-21,AAPL,0.0,0
2025-03-24,AAPL,0.0,0
2025-03-25,AAPL,0.0,0
2025-03-26,AAPL,0.0,0
2025-03-27,AAPL,0.0,0
2025-03-28,AAPL,0.0,0
2025-03-31,AAPL,0.0,0
2025-04-01,AAPL,0.0,0
2025-04-02,AAPL,0.0,0
2025-04-03,AAPL,0.0,0
2025-04-04,AAPL,0.0,0
2025-04-07,AAPL,0.0,0
2025-04-08,AAPL,0.0,0
2025-04-09,AAPL,0.0,0
2025-04-10,AAPL,0.0,0
2025-04-11,AAPL,0.0,0
2025-04-14,AAPL,0.0,0
2025-04-15,AAPL,0.0,0
2025-04-16,AAPL,0.0,0
2025-04-17,AAPL,0.0,0
2025-04-18,AAPL,0.0,0
2025-04-21,AAPL,0.0,0
2025-04-22,AAPL,0.0,0
2025-04-23,AAPL,0.0,0
2025-04-24,AAPL,0.0,0
2025-04-25,AAPL,0.0,0
2025-04-28,AAPL,0.0,0
2025-04-29,AAPL,0.0,0
2025-04-30,AAPL,0.0,0
2025-05-01,AAPL,0.0,0
2025-05-02,AAPL,0.0,0
2025-05-05,AAPL,0.0,0
2025-05-06,AAPL,0.0,0
2025-05-07,AAPL,0.0,0
2025-05-08,AAPL,0.0,0
2025-05-09,AAPL,0.0,0
2025-05-12,AAPL,0.0,0
2025-05-13,AAPL,0.0,0
2025-05-14,AAPL,0.0,0
2025-05-15,AAPL,0.0,0
2025-05-16,AAPL,0.0,0
2025-05-19,AAPL,0.0,0
2025-05-20,AAPL,0.0,0
2025-05-21,AAPL,0.0,0
2025-05-22,AAPL,0.0,0
2025-05-23,AAPL,0.0,0
2025-05-26,AAPL,0.0,0
2025-05-27,AAPL,0.0,0
2025-05-28,AAPL,0.0,0
2025-05-29,AAPL,0.0,0
2025-05-30,AAPL,0.0,0
2025-06-02,AAPL,0.0,0
2025-06-03,AAPL,0.0,0
2025-06-04,AAPL,0.0,0
2025-06-05,AAPL,0.0,0
2025-06-06,AAPL,0.0,0
2025-06-09,AAPL,0.0,0
2025-06-10,AAPL,0.0,0
2025-06-11,AAPL,0.0,0
2025-06-12,AAPL,0.0,0
2025-06-13,AAPL,0.0,0
2025-06-16,AAPL,0.0,0
2025-06-17,AAPL,0.0,0
2025-06-18,AAPL,0.0,0
2025-06-19,AAPL,0.0,0
2025-06-20,AAPL,0.0,0
2025-06-23,AAPL,0.0,0
2025-06-24,AAPL,0.0,0
2025-06-25,AAPL,0.0,0
2025-06-26,AAPL,0.0,0
2025-06-27,AAPL,0.0,0
2025-06-30,AAPL,0.0,0
2025-07-01,AAPL,0.0,0
2025-07-02,AAPL,0.0,0
2025-07-03,AAPL,0.0,0
2025-07-04,AAPL,0.0,0
2025-07-07,AAPL,0.0,0
2025-07-08,AAPL,0.0,0
2025-07-09,AAPL,0.0,0
2025-07-10,AAPL,0.0,0
2025-07-11,AAPL,0.0,0
2025-07-14,AAPL,0.0,0
2025-07-15,AAPL,0.0,0
2025-07-16,AAPL,0.0,0
2025-07-17,AAPL,0.0,0
2025-07-18,AAPL,0.0,0
2025-07-21,AAPL,0.0,0
2025-07-22,AAPL,0.0,0
2025-07-23,AAPL,0.0,0
2025-07-24,AAPL,0.0,0
2025-07-25,AAPL,0.0,0
2025-07-28,AAPL,0.0,0
2025-07-29,AAPL,0.0,0
2025-07-30,AAPL,0.0,0
2025-07-31,AAPL,0.0,0
2025-08-01,AAPL,0.0,0
2025-08-04,AAPL,0.0,0
2025-08-05,AAPL,0.0,0
2025-08-06,AAPL,0.0,0
2025-08-07,AAPL,0.0,0
2025-08-08,AAPL,0.0,0
2025-08-11,AAPL,0.0,0
2025-08-12,AAPL,0.0,0
2025-08-13,AAPL,0.0,0
2025-08-14,AAPL,0.0,0
2025-08-15,AAPL,0.0,0
2025-08-18,AAPL,0.0,0
2025-08-19,AAPL,0.0,0
2025-08-20,AAPL,0.0,0
2025-08-21,AAPL,0.0,0
2025-08-22,AAPL,0.0,0
2025-08-25,AAPL,0.0,0
