date,ticker,prob_decrease_XGBoost,prob_neutral_XGBoost,prob_increase_XGBoost
2023-01-03,AAPL,0.3459477,0.09731326,0.556739
2023-01-04,AAPL,0.41391683,0.040545765,0.54553735
2023-01-05,AAPL,0.30753714,0.060836196,0.63162667
2023-01-06,AAPL,0.37244502,0.048374355,0.5791806
2023-01-09,AAPL,0.41683346,0.11369011,0.4694765
2023-01-10,AAPL,0.40184158,0.102320746,0.4958377
2023-01-11,AAPL,0.4793498,0.1048853,0.41576487
2023-01-12,AAPL,0.4376507,0.10708858,0.45526078
2023-01-13,AAPL,0.4251482,0.08583478,0.48901704
2023-01-17,AAPL,0.43652317,0.08143901,0.4820378
2023-01-18,AAPL,0.45885354,0.08278235,0.45836413
2023-01-19,AAPL,0.45509338,0.07921482,0.46569175
2023-01-20,AAPL,0.44873652,0.11717893,0.43408456
2023-01-23,AAPL,0.4343145,0.12628722,0.43939823
2023-01-24,AAPL,0.50420016,0.09948427,0.39631554
2023-01-25,AAPL,0.38401446,0.10407245,0.51191306
2023-01-26,AAPL,0.4153644,0.09896819,0.48566744
2023-01-27,AAPL,0.4391868,0.108162634,0.45265052
2023-01-30,AAPL,0.43828088,0.10367413,0.458045
2023-01-31,AAPL,0.43317255,0.104373194,0.4624543
2023-02-01,AAPL,0.46253833,0.11876986,0.4186918
2023-02-02,AAPL,0.4785076,0.09479362,0.42669877
2023-02-03,AAPL,0.5164377,0.06593127,0.417631
2023-02-06,AAPL,0.495153,0.10577936,0.39906764
2023-02-07,AAPL,0.44138968,0.1158265,0.4427839
2023-02-08,AAPL,0.4692108,0.11967708,0.41111207
2023-02-09,AAPL,0.4025012,0.07256641,0.5249324
2023-02-10,AAPL,0.4092582,0.090081714,0.5006601
2023-02-13,AAPL,0.4861739,0.08709077,0.4267354
2023-02-14,AAPL,0.4646488,0.0847895,0.45056176
2023-02-15,AAPL,0.45461053,0.09025538,0.45513412
2023-02-16,AAPL,0.4623541,0.11738575,0.4202601
2023-02-17,AAPL,0.37495357,0.09029797,0.53474844
2023-02-21,AAPL,0.39429307,0.12708893,0.4786179
2023-02-22,AAPL,0.31536752,0.16736849,0.51726395
2023-02-23,AAPL,0.4015026,0.13781992,0.46067744
2023-02-24,AAPL,0.34794596,0.13823977,0.5138143
2023-02-27,AAPL,0.36111856,0.106615394,0.5322661
2023-02-28,AAPL,0.4111693,0.12840232,0.46042836
2023-03-01,AAPL,0.37060305,0.11791707,0.5114799
2023-03-02,AAPL,0.432266,0.10821251,0.45952144
2023-03-03,AAPL,0.5103841,0.120996356,0.3686196
2023-03-06,AAPL,0.48505723,0.09418143,0.42076135
2023-03-07,AAPL,0.39366162,0.11171885,0.4946196
2023-03-08,AAPL,0.385903,0.10476294,0.5093341
2023-03-09,AAPL,0.4390126,0.11788522,0.4431022
2023-03-10,AAPL,0.38296416,0.12632523,0.49071053
2023-03-13,AAPL,0.43327215,0.11574707,0.45098075
2023-03-14,AAPL,0.44292298,0.11701189,0.4400651
2023-03-15,AAPL,0.44564143,0.11782491,0.43653357
2023-03-16,AAPL,0.46279845,0.114767395,0.42243412
2023-03-17,AAPL,0.39165303,0.11193365,0.4964134
2023-03-20,AAPL,0.3976739,0.13807857,0.46424755
2023-03-21,AAPL,0.4700282,0.13720033,0.3927715
2023-03-22,AAPL,0.44305682,0.113250464,0.44369277
2023-03-23,AAPL,0.4770937,0.12732916,0.3955771
2023-03-24,AAPL,0.48036385,0.12365843,0.3959777
2023-03-27,AAPL,0.40812585,0.11521505,0.47665903
2023-03-28,AAPL,0.4076811,0.1378288,0.45449013
2023-03-29,AAPL,0.43305385,0.16630127,0.40064493
2023-03-30,AAPL,0.39743713,0.13096175,0.47160113
2023-03-31,AAPL,0.4495614,0.1570554,0.3933832
2023-04-03,AAPL,0.36842385,0.14568262,0.48589355
2023-04-04,AAPL,0.44092992,0.108965755,0.4501044
2023-04-05,AAPL,0.45521784,0.09314871,0.45163345
2023-04-06,AAPL,0.4556274,0.08655385,0.4578187
2023-04-10,AAPL,0.42722726,0.08320082,0.48957196
2023-04-11,AAPL,0.4068045,0.08895214,0.5042434
2023-04-12,AAPL,0.4255772,0.09806818,0.47635457
2023-04-13,AAPL,0.4041383,0.11243668,0.48342505
2023-04-14,AAPL,0.42700517,0.11682073,0.45617405
2023-04-17,AAPL,0.44853708,0.11225544,0.43920743
2023-04-18,AAPL,0.32628396,0.1615226,0.51219344
2023-04-19,AAPL,0.449232,0.12795934,0.4228086
2023-04-20,AAPL,0.42519695,0.13376734,0.44103572
2023-04-21,AAPL,0.4122778,0.11941052,0.46831164
2023-04-24,AAPL,0.45555332,0.124878004,0.41956872
2023-04-25,AAPL,0.4436751,0.12819748,0.42812738
2023-04-26,AAPL,0.35328984,0.12182454,0.5248856
2023-04-27,AAPL,0.43544734,0.14234917,0.42220348
2023-04-28,AAPL,0.40965924,0.15109925,0.4392415
2023-05-01,AAPL,0.39358643,0.13195845,0.4744551
2023-05-02,AAPL,0.39525595,0.12653337,0.47821066
2023-05-03,AAPL,0.39803353,0.11663013,0.48533636
2023-05-04,AAPL,0.43564954,0.12336184,0.4409886
2023-05-05,AAPL,0.3891204,0.10819243,0.5026872
2023-05-08,AAPL,0.43169743,0.14550593,0.4227967
